Timestamp,AudioClass,AudioScore,AudioGroup,ActiveWindow,URL,HeadPose
10:03:42 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Microsoft Word,,Olhando para Frente
10:03:47 16/02/2025,Silence,0.109375,Ambiente Silencioso,Microsoft Word,,Olhando para Frente
10:03:52 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Microsoft Word,,Olhando para Frente
10:03:57 16/02/2025,"Inside, small room",0.1484375,Ruídos de Fundo Neutros,Microsoft Word,,Olhando para Frente
10:04:02 16/02/2025,Silence,0.08203125,Ambiente Silencioso,Microsoft Word,,Olhando para Frente
10:04:07 16/02/2025,Animal,0.1484375,Natureza e Ambiente,Microsoft Word,,Olhando para Frente
10:04:12 16/02/2025,"Inside, small room",0.19921875,Ruídos de Fundo Neutros,Microsoft Word,,Olhando para Frente
10:04:17 16/02/2025,Spray,0.109375,Não Classificado,Microsoft Word,,Olhando para Frente
10:04:22 16/02/2025,Typing,0.08203125,Ruídos de Fundo Neutros,Microsoft Word,,Olhando para Frente
10:04:27 16/02/2025,"Inside, small room",0.1484375,Ruídos de Fundo Neutros,Microsoft Word,,Olhando para Frente
10:04:32 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Microsoft Word,,Olhando para Frente
10:04:37 16/02/2025,"Inside, small room",0.1484375,Ruídos de Fundo Neutros,Microsoft Word,,Olhando para Frente
10:04:42 16/02/2025,"Inside, small room",0.26171875,Ruídos de Fundo Neutros,Microsoft Word,,Olhando para Frente
10:04:47 16/02/2025,"Inside, small room",0.1484375,Ruídos de Fundo Neutros,Microsoft Word,,Olhando para Frente
10:04:52 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Microsoft Word,,Olhando para Frente
10:04:57 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Microsoft Word,,Olhando para a Direita
10:05:02 16/02/2025,Silence,0.26171875,Ambiente Silencioso,Microsoft Word,,Olhando para a Direita
10:05:07 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Microsoft Word,,Olhando para a Direita
10:05:12 16/02/2025,Speech,0.109375,Fala e Vozes,Microsoft Word,,Olhando para a Direita
10:05:17 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Microsoft Word,,Olhando para a Direita
10:05:22 16/02/2025,Silence,0.109375,Ambiente Silencioso,Microsoft Word,,Olhando para a Direita
10:05:27 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Microsoft Word,,Olhando para Frente
10:05:32 16/02/2025,Silence,0.08203125,Ambiente Silencioso,Microsoft Word,,Olhando para Frente
10:05:38 16/02/2025,Silence,0.26171875,Ambiente Silencioso,Microsoft Word,,Olhando para Frente
10:05:43 16/02/2025,Silence,0.109375,Ambiente Silencioso,Microsoft Word,,Olhando para Frente
10:05:48 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:05:53 16/02/2025,Silence,0.26171875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:05:58 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:06:03 16/02/2025,Silence,0.26171875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:06:08 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:06:13 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:06:18 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:06:23 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:06:28 16/02/2025,Silence,0.26171875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:06:33 16/02/2025,Silence,0.33203125,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:06:38 16/02/2025,Silence,0.33203125,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:06:43 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:06:48 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:06:53 16/02/2025,Silence,0.109375,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:06:58 16/02/2025,Speech,0.08203125,Fala e Vozes,Pré-Visualização,,Olhando para Frente
10:07:03 16/02/2025,Silence,0.08203125,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:07:08 16/02/2025,Speech,0.05859375,Fala e Vozes,Pré-Visualização,,Olhando para Frente
10:07:13 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:07:18 16/02/2025,Animal,0.08203125,Natureza e Ambiente,Pré-Visualização,,Olhando para Frente
10:07:23 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:07:28 16/02/2025,"Inside, small room",0.19921875,Ruídos de Fundo Neutros,Microsoft Word,,Olhando para Frente
10:07:33 16/02/2025,"Rodents, rats, mice",0.19921875,Não Classificado,Microsoft Word,,Olhando para Frente
10:07:38 16/02/2025,Rumble,0.26171875,Natureza e Ambiente,Microsoft Word,,Olhando para Frente
10:07:43 16/02/2025,Speech,0.08203125,Fala e Vozes,Microsoft Word,,Olhando para Frente
10:07:48 16/02/2025,Silence,0.05859375,Ambiente Silencioso,Microsoft Word,,Olhando para Frente
10:07:53 16/02/2025,"Inside, small room",0.1484375,Ruídos de Fundo Neutros,Microsoft Word,,Olhando para Frente
10:07:58 16/02/2025,Mechanisms,0.109375,Não Classificado,Microsoft Word,,Olhando para Frente
10:08:03 16/02/2025,"Inside, small room",0.05859375,Ruídos de Fundo Neutros,Microsoft Word,,Olhando para Frente
10:08:08 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:08:14 16/02/2025,Silence,0.26171875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:08:19 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:08:24 16/02/2025,Animal,0.109375,Natureza e Ambiente,Pré-Visualização,,Olhando para Frente
10:08:29 16/02/2025,Silence,0.109375,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:08:34 16/02/2025,Silence,0.26171875,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
10:08:39 16/02/2025,Silence,0.109375,Ambiente Silencioso,Pré-Visualização,,Olhando para Frente
