Timestamp,AudioClass,AudioScore,AudioGroup,ActiveWindow,URL,HeadPose
15:32:43 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
15:32:48 16/02/2025,Animal,0.1484375,Natureza e Ambiente,zoom.us,,Olhando para Frente
15:32:53 16/02/2025,Speech,0.98046875,Fala e Vozes,zoom.us,,Olhando para Frente
15:32:58 16/02/2025,Speech,0.98046875,Fala e Vozes,zoom.us,,Olhando para Frente
15:33:03 16/02/2025,Speech,0.98828125,Fala e Vozes,zoom.us,,Olhando para Frente
15:33:08 16/02/2025,Speech,0.98046875,Fala e Vozes,zoom.us,,Olhando para Frente
15:33:13 16/02/2025,Speech,0.5859375,Fala e Vozes,zoom.us,,Olhando para Frente
15:33:18 16/02/2025,Speech,0.98828125,Fala e Vozes,zoom.us,,Olhando para Frente
15:33:23 16/02/2025,Speech,0.98046875,Fala e Vozes,zoom.us,,Olhando para Frente
15:33:28 16/02/2025,Speech,0.98046875,Fala e Vozes,zoom.us,,Olhando para Frente
15:33:33 16/02/2025,Speech,0.9921875,Fala e Vozes,zoom.us,,Olhando para Frente
15:33:38 16/02/2025,Speech,0.98828125,Fala e Vozes,zoom.us,,Olhando para Frente
15:33:43 16/02/2025,Chant,0.33203125,Fala e Vozes,zoom.us,,Olhando para Frente
15:33:48 16/02/2025,Speech,0.96875,Fala e Vozes,zoom.us,,Olhando para Frente
15:33:53 16/02/2025,Speech,0.05859375,Fala e Vozes,zoom.us,,Olhando para Frente
15:33:58 16/02/2025,Speech,0.08203125,Fala e Vozes,zoom.us,,Olhando para Frente
15:34:03 16/02/2025,Mechanical fan,0.08203125,Ruídos Mecânicos e Veiculares,zoom.us,,Olhando para Frente
15:34:08 16/02/2025,Mechanical fan,0.08203125,Ruídos Mecânicos e Veiculares,zoom.us,,Olhando para Frente
15:34:14 16/02/2025,Speech,0.04296875,Fala e Vozes,zoom.us,,Olhando para Frente
15:34:19 16/02/2025,Speech,0.984375,Fala e Vozes,zoom.us,,Olhando para Frente
15:34:24 16/02/2025,Speech,0.984375,Fala e Vozes,zoom.us,,Olhando para Frente
15:34:29 16/02/2025,Speech,0.984375,Fala e Vozes,zoom.us,,Olhando para Frente
15:34:34 16/02/2025,Speech,0.9921875,Fala e Vozes,zoom.us,,Olhando para Frente
