Timestamp,AudioClass,AudioScore,AudioGroup,ActiveWindow,URL,HeadPose
18:13:59 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:14:04 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:14:09 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:14:14 16/02/2025,"Inside, small room",0.08203125,Ruídos de Fundo Neutros,Visual Studio Code,,Olhando para Frente
18:14:19 16/02/2025,Speech,0.26171875,Fala e Vozes,Visual Studio Code,,Olhando para Frente
18:14:24 16/02/2025,Speech,0.08203125,Fala e Vozes,Visual Studio Code,,Olhando para Frente
18:14:29 16/02/2025,"Inside, small room",0.26171875,Ruídos de Fundo Neutros,Visual Studio Code,,Olhando para Frente
18:14:34 16/02/2025,Speech,0.5,Fala e Vozes,Visual Studio Code,,Olhando para Frente
18:14:39 16/02/2025,Silence,0.33203125,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:14:44 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:14:49 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:14:54 16/02/2025,Speech,0.19921875,Fala e Vozes,Visual Studio Code,,Olhando para Frente
18:14:59 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Visual Studio Code,,Olhando para a Direita
18:15:04 16/02/2025,Speech,0.05859375,Fala e Vozes,Visual Studio Code,,Olhando para a Direita
18:15:09 16/02/2025,Speech,0.08203125,Fala e Vozes,Visual Studio Code,,Olhando para a Direita
18:15:14 16/02/2025,Speech,0.08203125,Fala e Vozes,Visual Studio Code,,Olhando para a Direita
18:15:19 16/02/2025,Silence,0.109375,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:15:25 16/02/2025,Silence,0.33203125,Ambiente Silencioso,Visual Studio Code,,Olhando para a Esquerda
18:15:30 16/02/2025,Silence,0.26171875,Ambiente Silencioso,Visual Studio Code,,Olhando para a Esquerda
18:15:35 16/02/2025,Speech,0.08203125,Fala e Vozes,Visual Studio Code,,Olhando para a Esquerda
18:15:40 16/02/2025,Hum,0.19921875,Fala e Vozes,Visual Studio Code,,Olhando para a Esquerda
18:15:45 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Visual Studio Code,,Olhando para a Esquerda
18:15:50 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Visual Studio Code,,Olhando para a Esquerda
18:15:55 16/02/2025,Silence,0.33203125,Ambiente Silencioso,Visual Studio Code,,Olhando para a Esquerda
18:16:00 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Visual Studio Code,,Olhando para Cima
18:16:05 16/02/2025,Silence,0.33203125,Ambiente Silencioso,Visual Studio Code,,Olhando para Cima
18:16:10 16/02/2025,Silence,0.109375,Ambiente Silencioso,Visual Studio Code,,Olhando para Cima
18:16:15 16/02/2025,Animal,0.4140625,Natureza e Ambiente,Visual Studio Code,,Olhando para Cima
18:16:20 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Olhando para Cima
18:16:25 16/02/2025,Speech,0.08203125,Fala e Vozes,Visual Studio Code,,Olhando para Cima
18:16:30 16/02/2025,Silence,0.26171875,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:16:35 16/02/2025,"Inside, small room",0.4140625,Ruídos de Fundo Neutros,Visual Studio Code,,Olhando para Frente
