Timestamp,AudioClass,AudioScore,AudioGroup,ActiveWindow,URL,HeadPose
18:16:40 16/02/2025,Speech,0.26171875,Fala e Vozes,Visual Studio Code,,Olhando para Frente
18:16:45 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:16:50 16/02/2025,Speech,0.19921875,Fala e Vozes,Visual Studio Code,,Olhando para Frente
18:16:55 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:17:00 16/02/2025,Silence,0.26171875,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:17:05 16/02/2025,Silence,0.26171875,Ambiente Silencioso,Visual Studio Code,,Olhando para Baixo
18:17:10 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Olhando para Baixo
18:17:15 16/02/2025,"Inside, small room",0.19921875,Ruídos de Fundo Neutros,Visual Studio Code,,Olhando para Baixo
18:17:20 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Visual Studio Code,,Olhando para Baixo
18:17:25 16/02/2025,Silence,0.33203125,Ambiente Silencioso,Visual Studio Code,,Olhando para Baixo
18:17:30 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:17:35 16/02/2025,Silence,0.33203125,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:17:40 16/02/2025,Silence,0.33203125,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:17:45 16/02/2025,Silence,0.26171875,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:17:50 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Visual Studio Code,,Olhando para Frente
18:17:55 16/02/2025,Speech,0.19921875,Fala e Vozes,Visual Studio Code,,Olhando para Frente
18:18:00 16/02/2025,Speech,0.1484375,Fala e Vozes,Visual Studio Code,,Sem Detecção de Rosto
18:18:06 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Sem Detecção de Rosto
18:18:11 16/02/2025,Silence,0.109375,Ambiente Silencioso,Visual Studio Code,,Sem Detecção de Rosto
18:18:16 16/02/2025,Silence,0.109375,Ambiente Silencioso,Visual Studio Code,,Sem Detecção de Rosto
18:18:21 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Sem Detecção de Rosto
18:18:26 16/02/2025,Speech,0.109375,Fala e Vozes,Visual Studio Code,,Sem Detecção de Rosto
18:18:31 16/02/2025,Silence,0.1484375,Ambiente Silencioso,Visual Studio Code,,Sem Detecção de Rosto
18:18:36 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Sem Detecção de Rosto
18:18:41 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Sem Detecção de Rosto
18:18:46 16/02/2025,Silence,0.19921875,Ambiente Silencioso,Visual Studio Code,,Sem Detecção de Rosto
18:18:51 16/02/2025,Speech,0.109375,Fala e Vozes,Visual Studio Code,,Sem Detecção de Rosto
18:18:56 16/02/2025,Speech,0.19921875,Fala e Vozes,Visual Studio Code,,Sem Detecção de Rosto
