Timestamp,AudioClass,AudioScore,AudioGroup,ActiveWindow,URL,HeadPose
13:19:15 16/02/2025,Mechanical fan,0.05859375,Ruídos Mecânicos e Veiculares,Safari,localhost:8501,Olhando para Frente
13:19:20 16/02/2025,Mechanical fan,0.109375,Ruídos Mecânicos e Veiculares,Visual Studio Code,,Olhando para Frente
13:19:25 16/02/2025,Mechanical fan,0.66796875,Ruídos Mecânicos e Veiculares,Visual Studio Code,,Olhando para Frente
13:19:30 16/02/2025,Mechanical fan,0.33203125,Ruídos Mecânicos e Veiculares,Visual Studio Code,,Olhando para Frente
13:19:35 16/02/2025,Mechanical fan,0.5859375,Ruídos Mecânicos e Veiculares,Safari,localhost:8501,Olhando para Frente
13:19:40 16/02/2025,Mechanical fan,0.984375,Ruídos Mecânicos e Veiculares,Safari,localhost:8501,Olhando para Frente
13:19:45 16/02/2025,Mechanical fan,0.96875,Ruídos Mecânicos e Veiculares,Safari,localhost:8501,Olhando para Frente
13:19:50 16/02/2025,Wind,0.1484375,Ruídos de Fundo Neutros,Safari,localhost:8501,Olhando para Frente
13:19:55 16/02/2025,Speech,0.33203125,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:20:01 16/02/2025,Speech,0.08203125,Fala e Vozes,Visual Studio Code,,Olhando para Frente
13:20:06 16/02/2025,Music,0.5859375,Música,Visual Studio Code,,Olhando para Frente
13:20:11 16/02/2025,Speech,0.109375,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:20:16 16/02/2025,Speech,0.5,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:20:21 16/02/2025,Speech,0.26171875,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:20:26 16/02/2025,Speech,0.1484375,Fala e Vozes,Visual Studio Code,,Olhando para Frente
13:20:31 16/02/2025,Speech,0.4140625,Fala e Vozes,Visual Studio Code,,Olhando para Frente
13:20:36 16/02/2025,Speech,0.109375,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:20:41 16/02/2025,Speech,0.5,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:20:46 16/02/2025,"Inside, small room",0.08203125,Ruídos de Fundo Neutros,Safari,localhost:8501,Olhando para Frente
13:20:51 16/02/2025,"Dishes, pots, and pans",0.4140625,Ruídos de Fundo Neutros,Safari,localhost:8501,Olhando para Frente
13:20:56 16/02/2025,Speech,0.80078125,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:21:01 16/02/2025,Speech,0.4140625,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:21:06 16/02/2025,Speech,0.1484375,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:21:11 16/02/2025,Speech,0.109375,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:21:16 16/02/2025,Speech,0.33203125,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:21:21 16/02/2025,Speech,0.33203125,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:21:27 16/02/2025,Speech,0.1484375,Fala e Vozes,Safari,localhost:8501,Olhando para Frente
13:21:32 16/02/2025,Speech,0.80078125,Fala e Vozes,Visual Studio Code,,Olhando para Frente
