Timestamp,AudioClass,AudioScore,AudioGroup,ActiveWindow,URL,HeadPose
19:44:29 16/02/2025,White noise,0.19921875,Ambiente Silencioso,Microsoft Excel,,Olhando para Frente
19:44:34 16/02/2025,Mechanical fan,0.5,Ruídos Mecânicos e Veiculares,Microsoft Excel,,Olhando para Frente
19:44:39 16/02/2025,Mechanical fan,0.19921875,Ruídos Mecânicos e Veiculares,Microsoft Excel,,Olhando para Frente
19:44:44 16/02/2025,Mechanical fan,0.3859375,Ruídos Mecânicos e Veiculares,Microsoft Excel,,Olhando para Frente
19:44:49 16/02/2025,White noise,0.33203125,Ambiente Silencioso,Microsoft Excel,,Olhando para Frente
19:44:54 16/02/2025,White noise,0.33203125,Ambiente Silencioso,Microsoft Excel,,Olhando para Frente
19:44:59 16/02/2025,White noise,0.19921875,Ambiente Silencioso,Microsoft Excel,,Olhando para Frente
19:45:04 16/02/2025,Wind,0.4140625,Ruídos de Fundo Neutros,Microsoft Excel,,Olhando para Frente
19:45:09 16/02/2025,White noise,0.19921875,Ambiente Silencioso,Microsoft Excel,,Olhando para Frente
19:45:14 16/02/2025,Wind,0.33203125,Ruídos de Fundo Neutros,Microsoft Excel,,Olhando para Frente
19:45:19 16/02/2025,White noise,0.26171875,Ambiente Silencioso,Microsoft Excel,,Olhando para Frente
19:45:24 16/02/2025,Wind,0.19921875,Ruídos de Fundo Neutros,Microsoft Excel,,Olhando para Frente
19:45:29 16/02/2025,Mechanical fan,0.26171875,Ruídos Mecânicos e Veiculares,Microsoft Excel,,Olhando para Frente
19:45:34 16/02/2025,White noise,0.19921875,Ambiente Silencioso,Microsoft Excel,,Olhando para Frente
19:45:39 16/02/2025,Music,0.5,Música,Microsoft Excel,,Olhando para Frente
19:45:44 16/02/2025,Music,0.33203125,Música,Microsoft Excel,,Olhando para Frente
19:45:49 16/02/2025,Music,0.26171875,Música,Microsoft Excel,,Olhando para Frente
19:45:54 16/02/2025,Mechanical fan,0.66796875,Ruídos Mecânicos e Veiculares,Microsoft Excel,,Olhando para Frente
19:45:59 16/02/2025,Wind,0.05859375,Ruídos de Fundo Neutros,Microsoft Excel,,Olhando para Frente
19:46:04 16/02/2025,White noise,0.19921875,Ambiente Silencioso,Microsoft Excel,,Olhando para a Esquerda
19:46:09 16/02/2025,Wind,0.33203125,Ruídos de Fundo Neutros,Microsoft Excel,,Olhando para a Esquerda
19:46:14 16/02/2025,White noise,0.109375,Ambiente Silencioso,Microsoft Excel,,Olhando para a Esquerda
19:46:19 16/02/2025,Wind,0.109375,Ruídos de Fundo Neutros,Microsoft Excel,,Olhando para a Esquerda
19:46:24 16/02/2025,White noise,0.109375,Ambiente Silencioso,Microsoft Excel,,Olhando para a Esquerda
19:46:29 16/02/2025,Wind,0.1484375,Ruídos de Fundo Neutros,Microsoft Excel,,Olhando para a Esquerda
19:46:35 16/02/2025,Vehicle,0.1484375,Ruídos Mecânicos e Veiculares,Microsoft Excel,,Olhando para a Esquerda
19:46:40 16/02/2025,White noise,0.19921875,Ambiente Silencioso,Microsoft Excel,,Olhando para a Esquerda
19:46:45 16/02/2025,Wind,0.33203125,Ruídos de Fundo Neutros,Microsoft Excel,,Olhando para Frente
